대피시설명,지번주소,도로명주소,대피시설 인원수,경도,위도
아차산역,서울특별시 광진구 능동 256,서울특별시 광진구 천호대로 지하 657 (능동 5호선 아차산역),8064,127.089371,37.552404
현대하이츠빌라,서울특별시 광진구 중곡동 106,서울특별시 광진구 영화사로9길 24 (중곡동 현대하이츠빌라),800,127.093343,37.556122
삼민아파트,서울특별시 광진구 중곡동 609,서울특별시 광진구 긴고랑로15길 32 (중곡동 삼민아파트),800,127.083709,37.563093
화양동 주민센터,서울특별시 광진구 화양동 122,서울특별시 광진구 능동로17길 39 (화양동 화양동주민센터),794,127.071318,37.546511
세종대학교 군자관,서울특별시 광진구 군자동 98,서울특별시 광진구 능동로 209 (군자동 세종대학교),1240,127.073183,37.551608
군자메가박스,서울특별시 광진구 군자동 477,서울특별시 광진구 능동로 289 (군자동),680,127.078344,37.55579
군자동 주민센터,서울특별시 광진구 군자동 53,서울특별시 광진구 군자로 151 (군자동 군자동주민센터),67,127.07589,37.555121
군자지하보도,서울특별시 광진구 중곡동 611,서울특별시 광진구 동일로 323 (중곡동),160,127.073827,37.559558
용마초등학교,서울특별시 광진구 중곡동 135,서울특별시 광진구 천호대로113길 10 (중곡동 서울용마초등학교),1144,127.083527,37.557827
한라아파트,서울특별시 광진구 자양동 762,서울특별시 광진구 뚝섬로33길 20 (자양동 한라아파트),11420,127.069817,37.535927
범천타워,서울특별시 광진구 능동 222,서울특별시 광진구 천호대로 572 (능동),1120,127.081223,37.555997
광나루역,서울특별시 광진구 광장동 237,서울특별시 광진구 아차산로 지하 571 (광장동 광나루역5호선),9680,127.103606,37.545279
건국대 새천년관,서울특별시 광진구 화양동 1,서울특별시 광진구 능동로 120 (화양동),11061,127.074712,37.539183
광장동주민센터,서울특별시 광진구 광장동 248,서울특별시 광진구 광장로 52 (광장동 광장동주민센터),107,127.103013,37.546845
신성그랜드타워,서울특별시 광진구 중곡동 231,서울특별시 광진구 면목로 127 (중곡동 신성그랜드타워),1000,127.080416,37.565062
현대프라임아파트,서울특별시 광진구 구의동 631,서울특별시 광진구 광나루로56길 29 (구의동 현대프라임아파트),10000,127.096537,37.536958
일성파크아파트,서울특별시 광진구 군자동 99,서울특별시 광진구 군자로12길 46 (군자동 일성파크아파트),1200,127.072673,37.551713
휘경2동 휘경중학교(거주자)지하주차장,서울특별시 동대문구 휘경동 286-66,서울특별시 동대문구 망우로18나길 20 (휘경동 휘경중학교),49300,127.061737,37.587088
휘경1동 롯데아파트,서울특별시 동대문구 휘경동 78,서울특별시 동대문구 망우로 95 (휘경동 휘경동롯데아파트),9630,127.063964,37.591178
휘경1동 효자워너빌,서울특별시 동대문구 휘경동 264-2,서울특별시 동대문구 망우로 67 (휘경동 효자 워너빌),12430,127.060612,37.589901
휘경2동 서울삼육병원,서울특별시 동대문구 휘경동 29-1,서울특별시 동대문구 망우로 82 (휘경동),800,127.063553,37.586212
경남아너스빌아파트 지하주차장,서울특별시 노원구 중계동 597,서울특별시 노원구 덕릉로94길 10,1818,127.076982,37.66203
동양메이저아파트 101동,서울특별시 노원구 상계동 1305,서울특별시 노원구 상계로5길 12,727,127.064261,37.657353
금호타운아파트101동,서울특별시 노원구 상계동 1270,서울특별시 노원구 한글비석로46나길 10,5454,127.06865,37.667178
금호타운아파트102동,서울특별시 노원구 상계동 1270,서울특별시 노원구 한글비석로46나길 10,9090,127.06865,37.667178
학여울 청구아파트 101동,서울특별시 노원구 하계동 354,서울특별시 노원구 동일로207길 186,848,127.059799,37.637951
학여울 청구아파트102동,서울특별시 노원구 하계동 354,서울특별시 노원구 동일로207길 186,969,127.059799,37.637951
학여울 청구아파트107동,서울특별시 노원구 하계동 354,서울특별시 노원구 동일로207길 186,1212,127.059799,37.637951
학여울 청구아파트 109동,서울특별시 노원구 하계동 354,서울특별시 노원구 동일로207길 186,848,127.059799,37.637951
성북역신도뷰레뉴아파트 아파트101동,서울특별시 노원구 월계동 941,서울특별시 노원구 광운로19길 38,1212,127.059189,37.623154
