좌표정보(x),좌표정보(y),비상시설위치,시설명건물명
299974.6401,184196.4159,경상남도 진주시 가좌동 900번지,경상국립대학교
301364.5331,185395.3368,경상남도 진주시 호탄동 579번지 14호,삼성아파트
354640.7918,152871.3259,경상남도 거제시 아주동 320번지 59호,덕진3차휴먼빌
353846.6422,153616.5492,경상남도 거제시 아주동 1011번지,"대동다숲아파트 1단지(105동, 106동)"
353988.0025,153566.7521,경상남도 거제시 아주동 1020번지,"대동다숲아파트 2단지 (205동, 206동)"
174002.8631,276385.0276,전라북도 군산시 중앙로1가 13번지 1호,민방위대피소
174888.911,275409.3977,전라북도 군산시 대명동 385번지 60호,현대 메트로타워 아파트
170639.2152,273392.8068,전라북도 군산시 산북동 3616번지,부향1차 아파트
176924.4787,274793.3061,전라북도 군산시 조촌동 903번지 2호,조촌현대아파트 101동
176924.4787,274793.3061,전라북도 군산시 조촌동 903번지 2호,조촌현대아파트 102동
176924.4787,274793.3061,전라북도 군산시 조촌동 903번지 2호,조촌현대아파트 105동
176243.8805,273695.268,전라북도 군산시 조촌동 771번지,조촌부향하나로아파트
175586.1692,274415.3574,전라북도 군산시 경장동 511번지 6호,오르빌아파트
176173.7435,273942.9028,전라북도 군산시 조촌동 895번지 16호,현대한솔아파트
176196.1964,273461.486,전라북도 군산시 조촌동 3931번지,타워써미트아파트
174450.9139,274515.9985,전라북도 군산시 수송동 69번지 2호,수송 현대 아파트 101동
177549.7035,275508.9449,전라북도 군산시 구암동 65번지,구암동 현대아파트 2차
176788.62,276156.9116,전라북도 군산시 구암동 377번지,세풍아파트 제2지하주차장
176924.4787,274793.3061,전라북도 군산시 조촌동 903번지 2호,조촌현대아파트 103동
176924.4787,274793.3061,전라북도 군산시 조촌동 903번지 2호,조촌현대아파트 104동
160736.2663,274235.4007,전라북도 군산시 오식도동 806번지 3호,한성 필 하우스 아파트
190325.3317,255320.177,전라북도 김제시 신풍동 491번지 1호,한국농어촌공사 동진지사
190857.0527,255686.8013,전라북도 김제시 신풍동 605번지,대방아파트
183382.5141,261033.156,전라북도 김제시 만경읍 536번지 2호,만경도서관
190211.1491,255448.0415,전라북도 김제시 요촌동 105번지 2호,김제시립도서관
190705.4815,256076.3952,전라북도 김제시 검산동 1032번지 1호,검산 부영1차아파트
189345.9893,256450.7988,전라북도 김제시 서암동 17번지 1호,위드아파트
191172.329,255227.8649,전라북도 김제시 신풍동 63번지,부영3차아파트
188979.2736,255306.1032,전라북도 김제시 교동 399번지 김제교동휴먼시아,LH 교동휴먼시아 아파트
189379.217,255639.4914,전라북도 김제시 요촌동 423번지 2호,김제보건소
176192.4308,274172.6197,전라북도 군산시 조촌동 888번지,군산시청 지하1층
176788.62,276156.9116,전라북도 군산시 구암동 377번지,세풍아파트 제1지하주차장
175978.8009,275654.4806,전라북도 군산시 경암동 540번지 8호,부향하나로아파트101동
176760.5996,274751.6842,전라북도 군산시 조촌동 907번지 2호,동신개나리아파트
174450.9139,274515.9985,전라북도 군산시 수송동 69번지 2호,수송 현대 아파트 102동
174450.9139,274515.9985,전라북도 군산시 수송동 69번지 2호,수송 현대 아파트 103동
174095.6591,272901.9447,전라북도 군산시 수송동 656번지,수송 동영 임대아파트
174057.1318,274097.5031,전라북도 군산시 수송동 33번지 1호,수송 제일아파트
175978.8009,275654.4806,전라북도 군산시 경암동 540번지 8호,"부향하나로아파트102,103동"
176069.0349,275625.7736,전라북도 군산시 경암동 539번지 9호,새한아파트
173405.421,275662.9844,전라북도 군산시 금광동 172번지,금광 삼성아파트
173252.3498,276853.2614,전라북도 군산시 해망동 1000번지 21호,해망굴
173532.0708,276146.8419,전라북도 군산시 월명동 15번지 1호,현대오솔아파트
173394.969,275996.2829,전라북도 군산시 월명동 23번지 1호,클래시움아파트
173787.8221,275131.8445,전라북도 군산시 삼학동 811번지 1호,삼학 대우아파트
176579.7947,274271.6308,전라북도 군산시 조촌동 880번지,법원.검찰청
172874.6522,274566.3915,전라북도 군산시 나운동 1556번지,보람더하임아파트
176788.62,276156.9116,전라북도 군산시 구암동 377번지,세풍아파트 제3지하주차장
174450.9139,274515.9985,전라북도 군산시 수송동 69번지 2호,수송 현대 아파트 104동
172239.2461,273735.0995,전라북도 군산시 나운동 805번지 1호,26센터
190321.5866,254955.0266,전라북도 김제시 신풍동 452번지,새한아파트
190861.4502,254726.0952,전라북도 김제시 신풍동 315번지 1호,현대아파트
189129.5287,255979.8954,전라북도 김제시 서암동 353번지,김제시청 지하식당
189686.2883,255936.463,전라북도 김제시 요촌동 282번지,두일로얄아파트
189129.5287,255979.8954,전라북도 김제시 서암동 353번지,김제시청
190188.7392,254500.2226,전라북도 김제시 신풍동 365번지,성산그린빌아파트
191523.4942,255841.1692,전라북도 김제시 검산동 1080번지,검산샬레1차아파트
190321.9739,256953.1581,전라북도 김제시 하동 387번지 26호,하동 오투그란데아파트
243870.7951,289916.3047,충청남도 금산군 금산읍 상리 25-1 금산군청,금산군청
244179.0058,290386.7102,충청남도 금산군 금산읍 중도리 203-1 금산군보건소,금산군보건소
243449.369,289332.0721,충청남도 금산군 금산읍 아인리 64-3 금산교육청,금산교육지원청
244131.3297,289239.6878,충청남도 금산군 금산읍 중도리 380-1 농협중앙회금산군지부,농협중앙회금산군지부
184828.7877,354553.0319,충청남도 예산군 예산읍 산성리 705 서오아파트,서오아파트101동
186245.0774,353210.7464,충청남도 예산군 예산읍 예산리 526-3 국민은행 예산지점,국민은행예산지점
185478.4562,353990.335,충청남도 예산군 예산읍 산성리 103-2 주공아파트,산성주공아파트
170154.8208,356311.0775,충청남도 예산군 덕산면 200번지 1호,써니밸리아파트
207882.9289,299171.8989,충청남도 논산시 강산동 643번지,부영아파트
243895.4786,290160.3416,충청남도 금산군 금산읍 상리 274 금산상리주공1단지아파트,주공아파트 1단지
185929.4968,354169.7613,충청남도 예산군 예산읍 산성리 87-6 한국전력공사,한국전력공사예산지점
185520.7898,357969.3582,충청남도 예산군 예산읍 신례원리 582 신례원현대아파트,신례원현대아파트2동
186017.8497,353731.0621,충청남도 예산군 예산읍 예산리 12 능금마을신성아파트,능금마을 신성아파트 101동
184828.7877,354553.0319,충청남도 예산군 예산읍 산성리 705 서오아파트,서오아파트102동
176946.2105,353958.3675,충청남도 예산군 삽교읍 563번지 6호,봉림아파트
184936.269,354557.4352,충청남도 예산군 예산읍 산성리 711 서오2차아파트,서오2차아파트202동
243827.9818,288580.3319,충청남도 금산군 금산읍 하옥리 405 대화,대화아파트
243730.1559,288620.7976,충청남도 금산군 금산읍 하옥리 407-5 대신아파트,대신아파트
186017.8497,353731.0621,충청남도 예산군 예산읍 예산리 12 능금마을신성아파트,능금마을 신성아파트102동
186017.8497,353731.0621,충청남도 예산군 예산읍 예산리 12 능금마을신성아파트,능금마을 신성아파트 105동
185115.7747,353957.5668,충청남도 예산군 예산읍 주교리 179-1 석탑유익아파트,석탑아파트
209466.9776,299650.4442,충청남도 논산시 지산동 459번지,청소년문화센터
208906.3337,298832.4816,충청남도 논산시 취암동 79 세중세미클래식아파트 1동,세중세미클래식
207506.3142,299727.5644,충청남도 논산시 부창동 209번지 4호,대림아파트
245047.8656,288947.8545,충청남도 금산군 금산읍 신대리 392 금산인삼관,금산인삼관
244576.2464,288736.7082,충청남도 금산군 금산읍 중도리 21-21 낙원아파트,낙원아파트 101동
184917.277,354648.2401,충청남도 예산군 예산읍 산성리 710 한신아파트,서오백송 아파트 301동
184917.277,354648.2401,충청남도 예산군 예산읍 산성리 710 한신아파트,서오백송 아파트 303동
184917.277,354648.2401,충청남도 예산군 예산읍 산성리 710 한신아파트,서오백송 아파트 304동
185520.7898,357969.3582,충청남도 예산군 예산읍 신례원리 582 신례원현대아파트,신례원현대아파트3동
185520.7898,357969.3582,충청남도 예산군 예산읍 신례원리 582 신례원현대아파트,신례원현대아파트4동
185520.7898,357969.3582,충청남도 예산군 예산읍 신례원리 582 신례원현대아파트,신레원현대아파트5동
244633.351,288787.0305,충청남도 금산군 금산읍 중도리 21-18 낙원아파트,낙원아파트 201동
244296.9056,288718.3656,충청남도 금산군 금산읍 하옥리 306 금산대원산마루아파트,산마루아파트
243131.3892,290098.8368,충청남도 금산군 금산읍 아인리 630 대원칸타빌,칸타빌 아파트
186017.8497,353731.0621,충청남도 예산군 예산읍 예산리 12 능금마을신성아파트,능금마을 신성아파트103동
186017.8497,353731.0621,충청남도 예산군 예산읍 예산리 12 능금마을신성아파트,능금마을 신성아파트 104동
177131.1474,354001.9736,충청남도 예산군 삽교읍 550번지 4호,남선아파트
176584.3715,354102.6773,충청남도 예산군 삽교읍 575번지 8호,양우아파트
184936.269,354557.4352,충청남도 예산군 예산읍 산성리 711 서오2차아파트,서오2차아파트201동
185155.0011,354945.6365,충청남도 예산군 예산읍 발연리 90-1 예산우방유쉘아파트,우방유쉘아파트
185700.8278,354066.5337,충청남도 예산군 예산읍 산성리 95-1 세광아파트,세광엔리치타워아파트
185467.6523,358035.7909,충청남도 예산군 예산읍 신례원리 589 아름채 아파트,아름채아파트
184932.6852,354964.8235,충청남도 예산군 예산읍 발연리 253-1,예산발연계룡리슈빌아파트
184917.277,354648.2401,충청남도 예산군 예산읍 산성리 710 한신아파트,서오백송 아파트 302동
184917.277,354648.2401,충청남도 예산군 예산읍 산성리 710 한신아파트,서오백송 아파트
185115.7747,353957.5668,충청남도 예산군 예산읍 주교리 179-1 석탑유익아파트,까치마을 유익아파트
185493.4191,353039.2901,충청남도 예산군 예산읍 예산리 722-15 KT 예산지점,KT예산지사
201960.4191,294515.4374,충청남도 논산시 강경읍 산양리 249-2 금강빌리지임대아파트,금강빌리지아파트
207567.7655,299566.6271,충청남도 논산시 부창동 66번지 2호,부창모닝빌아파트
208701.7388,298796.7125,충청남도 논산시 내동 272번지 7호,제이파크2단지아파트
209294.9359,297990.1555,충청남도 논산시 내동 1113번지,리벤하임아파트
209276.7249,297680.069,충청남도 논산시 내동 1109번지,내동LH2단지아파트
208679.5881,298666.9248,충청남도 논산시 내동 1262번지,내동모닝빌아파트
207945.21,301215.0666,충청남도 논산시 대교동 336 논산 대교 코아루,대교코아루1차아파트
208617.7133,298927.8456,충청남도 논산시 내동 272번지,제이파크 1단지
208116.7419,298450.158,충청남도 논산시 강산동 135번지,논산중앙장로교회
208835.1531,291647.4282,충청남도 논산시 연무읍 마산리 700-1 연무읍사무소,연무읍 행정복지센터(연무읍사무소)
201066.0841,295410.956,충청남도 논산시 강경읍 황산리 14-9 강경 클래시움 아파트,강경클래시움아파트
209062.0885,292595.8118,충청남도 논산시 연무읍 동산리 903-17 기산아파트,기산아파트
209012.2194,298729.1806,충청남도 논산시 내동 535번지,내동 동신아파트
222962.0892,307433.4592,충청남도 계룡시 금암동 74 신성미소지움2차아파트,신성 미소지움 2차 아파트 지하주차장
222272.1868,307787.2341,충청남도 계룡시 금암동 167번지 1호,우림루미아트 아파트 지하주차장
221623.7406,309812.7911,충청남도 계룡시 엄사면 엄사리 189-6,엄사사거리 지하보도
221283.5633,308886.4082,충청남도 계룡시 엄사면 유동리 14-6 대동황토방아파트,대동황토방아파트 지하주차장
208643.8189,299044.1199,충청남도 논산시 취암동 1103번지,취암모닝빌아파트
208762.1907,292399.8181,충청남도 논산시 연무읍 안심리 1-181 연무행복마을아파트,연무행복마을아파트
221309.3913,309009.0331,충청남도 계룡시 엄사면 엄사리 226-4 삼진아파트,삼진아파트 지하주차장
223755.2977,307700.2285,충청남도 계룡시 두마면 두계리 116 계룡대림e편한세상아파트,계룡대림e편한세상아파트 지하주차장
224285.1906,307511.4822,충청남도 계룡시 두마면 두계리 67 계룡 더 샵 아파트,계룡더샵아파트 지하주차장
221747.6684,309850.6351,충청남도 계룡시 엄사면 엄사리 181-1 엄사상점가 공영주차장,엄사상점가 공영지하주차장
221678.428,310805.5288,충청남도 계룡시 신도안면 남선리 1340 계룡대해미르아파트,해미르 아파트 지하주차장
220842,309257,충청남도 계룡시 엄사면 엄사리 587 계룡파라디아,파라디아아파트 지하주차장
208429.182,299949.6027,충청남도 논산시 취암동 1081번지,취암리슈빌아파트
222095.009,307901.5507,충청남도 계룡시 금암동 190번지,신성 미소지움 1차 아파트 지하주차장
207970.5061,298999.7124,충청남도 논산시 강산동 645번지,동신아파트
201040.7267,294656.8845,충청남도 논산시 강경읍 대흥리 35 조흥아파트,조흥아파트
209973.2181,298137.9101,충청남도 논산시 관촉동 26번지,"건양대학교 건양회관, 명곡관, 의료공학관"
212503.6765,454941.3559,경기도 구리시 수택동 469번지 1호,무학율촌마을아파트
185872.1792,444031.6995,서울특별시 구로구 오류동 341번지,한신플러스타운
185761.7338,443154.3096,서울특별시 구로구 오류동 344번지,경남아너스빌아파트
