"시설번호","대피시설명","지번주소","도로명주소","대피시설 구분","평시활용 유형","대피시설 면적","대피시설 인원수","개방여부","데이터기준일자","제공기관명","제공기관코드","경도","위도","X좌표","Y좌표"
"513","구로5동주민센터","서울특별시 구로구 구로동 109번지 4호","서울특별시 구로구 구로중앙로28길 66","공공용","자치구","661","799","Y","2020-09-15","서울특별시 구로구 구로5동주민센터","3160000","126.889324","37.500103","190213.437415","544521.325774"
"514","선경오피스텔","서울특별시 구로구 구로동 106번지 4호","서울특별시 구로구 공원로 3","공공용","아파트주차장","3990","4827","Y","2020-09-15","서울특별시 구로구 구로5동주민센터","3160000","126.892248","37.497654","190471.681995","544249.206212"
"515","신도림현대아파트","서울특별시 구로구 구로동 560번지","서울특별시 구로구 새말로9길 45","공공용","아파트주차장","6105","7387","Y","2020-09-15","서울특별시 구로구 구로5동주민센터","3160000","126.886385","37.505182","189954.209245","545085.334729"
"516","기산프라자","서울특별시 구로구 구로동 731-1","서울특별시 구로구 구로동로26길 8 지하주차장동","공공용","주차장","1025","1240","Y","2020-09-15","서울특별시 구로구 구로4동주민센터","3160000","126.884744","37.490203","189807.103827","543423.028312"
"517","순영웰라이빌","서울특별시 구로구 구로동 97-2","서울특별시 구로구 가마산로 280","공공용","지하주차장","6445","7812","Y","2020-09-15","서울특별시 구로구 구로4동주민센터","3160000","126.891562","37.496013","190410.810389","544067.146164"
"518","우진체리쉬","서울특별시 구로구 구로동 97-10","서울특별시 구로구 구로중앙로18길 53","공공용","지하주차장","974","1180","Y","2020-09-15","서울특별시 구로구 구로4동주민센터","3160000","126.891883","37.496118","190439.209851","544078.754938"
"519","대림오페라타워","서울특별시 구로구 구로동 98","서울특별시 구로구 구로중앙로 60","공공용","지하주차장","3960","4800","Y","2020-09-15","서울특별시 구로구 구로4동주민센터","3160000","126.889410","37.495115","190220.356156","543967.701283"
"520","남구로역","서울특별시 구로구 구로동 801-95","서울특별시 구로구 도림로 지하 7","공공용","기타","9854","11944","Y","2020-09-15","서울특별시 구로구 구로4동주민센터","3160000","126.887341","37.486162","190036.238099","542974.234590"
"521","마을공동주차장","서울특별시 구로구 구로동 741-14 마을공동주차장","서울특별시 구로구 구로동로 22길","공공용","주차장","4627","5608","Y","2020-09-15","서울특별시 구로구 구로4동주민센터","3160000","126.531313","37.292331","158441.516711","521558.953950"
"522","하이리빙아파트","서울특별시 구로구 고척동333번지","서울특별시 구로구 고척로 238","공공용","지하주차장","2175","2631","Y","2020-09-15","서울특별시 구로구 고척2동주민센터","3160000","126.859404","37.506125","187568.722038","545193.210080"
"523","청솔우성아파트","서울특별시 구로구 고척동329번지","서울특별시 구로구 중앙로 101","공공용","지하주차장","4136","5004","Y","2020-09-15","서울특별시 구로구 고척2동주민센터","3160000","126.859933","37.506207","187615.500018","545202.241297"
"524","오류1동주민센터","서울특별시 구로구 오류동 31-138","서울특별시 구로구 경인로 221","공공용","동주민센터","179","216","Y","2020-09-15","서울특별시 구로구 오류1동주민센터","3160000","126.845145","37.497021","186306.329520","544184.761944"
"525","씨티월드","서울특별시 구로구 오류동 44-10","서울특별시 구로구 경인로 176","공공용","주차장","4820","5832","Y","2020-09-15","서울특별시 구로구 오류1동주민센터","3160000","126.841017","37.494314","185940.786976","543884.928518"
"526","동부골든아파트","서울특별시 구로구 오류동 338","서울특별시 구로구 고척로 49","공공용","주차장","2268","2744","Y","2020-09-15","서울특별시 구로구 오류1동주민센터","3160000","126.841369","37.500007","185972.980049","544516.754388"
"527","동부아파트","서울특별시 구로구 오류동 339","서울특별시 구로구 경인로 248-13","공공용","주차장","9686","11720","Y","2020-09-15","서울특별시 구로구 오류1동주민센터","3160000","126.848289","37.497538","186584.442866","544241.663982"
"528","에이스트윈타워1차","서울특별시 구로구 구로동212-1","서울특별시 구로구 디지털로285","공공용","주차장","4322","3579","Y","2020-09-15","서울특별시 구로구 구로3동주민센터","3160000","126.894506","37.484447","190669.719197","542783.175795"
"529","중소기업은행","서울특별시 구로구 구로동817","서울특별시 구로구 디지털로32길55","공공용","주차장","2529","2094","Y","2020-09-15","서울특별시 구로구 구로3동주민센터","3160000","126.898344","37.483947","191009.097814","542727.308992"
"530","구로종합사회복지관","서울특별시 구로구 구로동256-7","서울특별시 구로구 디지털로31길93","공공용","기타시설","661","548","Y","2020-09-15","서울특별시 구로구 구로3동주민센터","3160000","126.890816","37.486823","190343.658515","543047.295840"
"531","대동빌라1동","서울특별시 구로구 구로동798-30","서울특별시 구로구 디지털로27길116","공공용","주차장","297","246","Y","2020-09-15","서울특별시 구로구 구로3동주민센터","3160000","126.887992","37.484831","190093.637991","542826.460194"
"532","베다니교회","서울특별시 구로구 구로동144-14","서울특별시 구로구 도림로20길11","공공용","기타시설","1950","1615","Y","2020-09-15","서울특별시 구로구 구로3동주민센터","3160000","126.892275","37.489606","190473.047392","543356.015875"
"533","이화우성아파트","서울특별시 구로구 구로동1260","서울특별시 구로구 도림로22길8","공공용","주차장","6612","5475","Y","2020-09-15","서울특별시 구로구 구로3동주민센터","3160000","126.893254","37.490149","190559.731560","543416.104295"
"534","이앤씨벤처드림타워3차","서울특별시 구로구 구로동197-33","서울특별시 구로구 구로구 디지털로31길38-21","공공용","주차장","8474","7017","Y","2020-09-15","서울특별시 구로구 구로3동주민센터","3160000","126.893713","37.486524","190599.861149","543013.754290"
"535","해피랜드","서울특별시 구로구 구로동197-11","서울특별시 구로구 디지털로31길66","공공용","주차장","2314","1916","Y","2020-09-15","서울특별시 구로구 구로3동주민센터","3160000","126.892360","37.486409","190480.123492","543001.146802"
"536","광희빌딩","서울특별시 구로구 구로동1126-1","서울특별시 구로구 시흥대로551","공공용","주차장","1653","1369","Y","2020-09-15","서울특별시 구로구 구로3동주민센터","3160000","126.900246","37.482519","191177.177694","542568.639935"
"537","만민중앙선교원","서울특별시 구로구 구로동235-3","서울특별시 구로구 디지털로26길29","공공용","기타시설","1653","1369","Y","2020-09-15","서울특별시 구로구 구로3동주민센터","3160000","126.894148","37.481481","190637.668594","542454.074550"
"538","구로4동주민센터","서울특별시 구로구 구로동 317-87","서울특별시 구로구 구로동로28길 94","공공용","기타","132","160","Y","2020-09-15","서울특별시 구로구 구로4동주민센터","3160000","126.889137","37.491537","190195.782108","543570.618277"
"539","우성상가","서울특별시 구로구 구로동 120","서울특별시 구로구 도림천로 344","공공용","주차장","496","600","Y","2020-09-15","서울특별시 구로구 구로4동주민센터","3160000","126.893908","37.494022","190618.053920","543845.934608"
"540","로얄프라자","서울특별시 구로구 구로동 97-1","서울특별시 구로구 가마산로 278","공공용","주차장","165","200","Y","2020-09-15","서울특별시 구로구 구로4동주민센터","3160000","126.891283","37.496062","190386.144649","544072.612987"
"541","현대오피스텔","서울특별시 구로구 구로동 98-16","서울특별시 구로구 구로중앙로18길 5 지하주차장동","공공용","주차장","331","400","Y","2020-09-15","서울특별시 구로구 구로4동주민센터","3160000","126.889629","37.494925","190239.733286","543946.625387"
"542","두산아파트","서울특별시 구로구 구로동 1265","서울특별시 구로구 도림로 59 지하주차장동","공공용","주차장","28100","34000","Y","2020-09-15","서울특별시 구로구 구로4동주민센터","3160000","126.888962","37.489899","190180.082678","543388.884354"
"543","삼익1단지아파트","서울특별시 구로구 고척동330번지","서울특별시 구로구 중앙로15길 132-17","공공용","지하주차장","4959","6000","Y","2020-09-15","서울특별시 구로구 고척2동주민센터","3160000","126.853315","37.508713","187030.817292","545481.254662"
"544","삼익2단지아파트","서울특별시 구로구 고척동331번지","서울특별시 구로구 중앙로15길 125","공공용","지하주자창","8264","9999","Y","2020-09-15","서울특별시 구로구 고척2동주민센터","3160000","126.852646","37.507787","186971.533130","545378.603882"
"545","양우아파트","서울특별시 구로구 고척동328번지","서울특별시 구로구 고척로52길 9","공공용","지하주차장","2975","3599","Y","2020-09-15","서울특별시 구로구 고척2동주민센터","3160000","126.856552","37.504972","187316.375693","545065.624563"
"546","경남2차아파트","서울특별시 구로구 고척동306번지","서울특별시 구로구 고척로52길 21","공공용","지하주차장","6787","8212","Y","2020-09-15","서울특별시 구로구 고척2동주민센터","3160000","126.857141","37.504702","187368.418217","545035.576560"
"826","신대방경남아파트","서울특별시 동작구 신대방동 712","서울특별시 동작구 신대방길 85","공공용","","6088","7379","Y","2021-05-31","서울특별시 동작구청","3190000","126.908337","37.490052","191893.600157","543404.003959"
"827","성원상떼빌","서울특별시 동작구 신대방동 719","서울특별시 동작구 신대방1가길 38","공공용","","2368","2870","Y","2021-05-31","서울특별시 동작구청","3190000","126.906938","37.487901","191769.596268","543165.364447"
"828","동작우체국","서울특별시 동작구 신대방동 361-2","서울특별시 동작구 여의대방로22길 77","공공용","","320","387","Y","2021-05-31","서울특별시 동작구청","3190000","126.924522","37.497920","193325.603370","544276.004191"
